"","id_estado","ANIO","estado","poblacion"
"250",8,2014,"Chihuahua",3540627
"251",8,2015,"Chihuahua",3574167
"252",8,2016,"Chihuahua",3607707
"253",8,2017,"Chihuahua",3641248
"254",8,2018,"Chihuahua",3674788
"255",8,2019,"Chihuahua",3708329
"256",8,2020,"Chihuahua",3741869
"257",9,1989,"Ciudad de México",8185091
"258",9,1990,"Ciudad de México",8235744
"259",9,1991,"Ciudad de México",8286397
"260",9,1992,"Ciudad de México",8337049
"261",9,1993,"Ciudad de México",8387702
"262",9,1994,"Ciudad de México",8438354
"263",9,1995,"Ciudad de México",8489007
"264",9,1996,"Ciudad de México",8512253
"265",9,1997,"Ciudad de México",8535500
"266",9,1998,"Ciudad de México",8558746
"267",9,1999,"Ciudad de México",8581993
"268",9,2000,"Ciudad de México",8605239
"269",9,2001,"Ciudad de México",8628374
"270",9,2002,"Ciudad de México",8651510
"271",9,2003,"Ciudad de México",8674645
"272",9,2004,"Ciudad de México",8697781
"273",9,2005,"Ciudad de México",8720916
"274",9,2006,"Ciudad de México",8746949
"275",9,2007,"Ciudad de México",8772982
"276",9,2008,"Ciudad de México",8799014
"277",9,2009,"Ciudad de México",8825047
"278",9,2010,"Ciudad de México",8851080
"279",9,2011,"Ciudad de México",8886966
"280",9,2012,"Ciudad de México",8922853
"281",9,2013,"Ciudad de México",8958739
"282",9,2014,"Ciudad de México",8994626
"283",9,2015,"Ciudad de México",9030512
"284",9,2016,"Ciudad de México",9066398
"285",9,2017,"Ciudad de México",9102285
"286",9,2018,"Ciudad de México",9138171
"287",9,2019,"Ciudad de México",9174058
"288",9,2020,"Ciudad de México",9209944
"289",10,1989,"Durango",1332904
"290",10,1990,"Durango",1349378
"291",10,1991,"Durango",1365852
"292",10,1992,"Durango",1382326
"293",10,1993,"Durango",1398800
"294",10,1994,"Durango",1415274
"295",10,1995,"Durango",1431748
"296",10,1996,"Durango",1435131
"297",10,1997,"Durango",1438513
"298",10,1998,"Durango",1441896
"299",10,1999,"Durango",1445278
"300",10,2000,"Durango",1448661
"301",10,2001,"Durango",1460752
"302",10,2002,"Durango",1472843
"303",10,2003,"Durango",1484935
"304",10,2004,"Durango",1497026
"305",10,2005,"Durango",1509117
"306",10,2006,"Durango",1533880
"307",10,2007,"Durango",1558644
"308",10,2008,"Durango",1583407
"309",10,2009,"Durango",1608171
"310",10,2010,"Durango",1632934
"311",10,2011,"Durango",1652906
"312",10,2012,"Durango",1672877
"313",10,2013,"Durango",1692849
"314",10,2014,"Durango",1712820
"315",10,2015,"Durango",1732792
"316",10,2016,"Durango",1752764
"317",10,2017,"Durango",1772735
"318",10,2018,"Durango",1792707
"319",10,2019,"Durango",1812678
"320",10,2020,"Durango",1832650
"321",11,1989,"Guanajuato",3897798
"322",11,1990,"Guanajuato",3982593
"323",11,1991,"Guanajuato",4067388
"324",11,1992,"Guanajuato",4152183
"325",11,1993,"Guanajuato",4236978
"326",11,1994,"Guanajuato",4321773
"327",11,1995,"Guanajuato",4406568
"328",11,1996,"Guanajuato",4457861
"329",11,1997,"Guanajuato",4509154
"330",11,1998,"Guanajuato",4560446
"331",11,1999,"Guanajuato",4611739
"332",11,2000,"Guanajuato",4663032
"333",11,2001,"Guanajuato",4709188
"334",11,2002,"Guanajuato",4755344
"335",11,2003,"Guanajuato",4801500
"336",11,2004,"Guanajuato",4847656
"337",11,2005,"Guanajuato",4893812
"338",11,2006,"Guanajuato",5012324
"339",11,2007,"Guanajuato",5130836
"340",11,2008,"Guanajuato",5249348
"341",11,2009,"Guanajuato",5367860
"342",11,2010,"Guanajuato",5486372
"343",11,2011,"Guanajuato",5554428
"344",11,2012,"Guanajuato",5622484
"345",11,2013,"Guanajuato",5690541
"346",11,2014,"Guanajuato",5758597
"347",11,2015,"Guanajuato",5826653
"348",11,2016,"Guanajuato",5894709
