,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aportaciones federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derecho adicional sobre extracción del petróleo,Derechos,Escuelas,FA Múltiples,FA para Educación Tecnológica y Adultos,FA para Infraestructura Social Estatal,FA para Nómina Educativa y Gasto Operativo,FA para el Fortalecimiento de los Municipios,FA para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales de la Ciudad de México,FA para la Infraestructura Social Municipal,FA para la Seguridad Pública,FA para los Servicios de Salud,Financiamiento,Fondo de Extracción de Hidrocarburos,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Recursos federales reasignados,Servicios de limpieza y manejo de desechos,Servicios personales,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
58,2,2015,110087118,18650360306,0,270366006,18149816,0,0,998534449.0,346303870.0,360864000,123389000,36590000,10377674000,1684128000,1129908000,265280000,328400000,1910089000,2356403594,0,0.0,2620659498,956251708,17070457151,158046702,2434038306,19009319,12476711981,42142977522,42142977522,39786573928
59,2,2016,70277275,23308333303,0,248037491,16869595,0,0,1067673317.0,140305301.0,485772000,130854649,41140000,11075884000,1773444000,1178124000,298260000,307790030,1997660000,2985796447,0,0.0,3003306866,919195224,19511745913,165071334,6019404624,21001416,13247356833,50306834266,50306834266,47321037819
60,2,2017,73283692,24098666150,0,244985844,21588914,0,0,1121388408.0,0.0,428891891,134453007,50237947,11235706991,1949560194,1229502012,364216918,297982963,2101074235,2771795269,0,0.0,3805746339,1106638647,22428950534,224341614,6307039992,21528879,13661736903,54717463072,54717463072,51945667803
61,2,2018,88349938,25461045586,0,240119114,18668174,0,0,1036498386.0,303037930.0,531768000,138342000,63730000,11665905000,2129268000,1251144000,462070000,283080000,2228176000,980005933,0,20380467.0,4060209192,1303460119,24454404585,158283749,6707562586,24200965,13707914801,56409234719,56409234719,55429228786
62,2,2019,86495883,27002107232,0,226465517,22216447,0,0,1265436750.0,164367636.0,564108900,142428326,80830000,11763166000,2420413112,1359507060,585990500,283121649,2355354000,1000300792,0,35959539.0,4341184675,626236110,24612485134,173780613,7447187685,23759183,13750518970,58643977160,58643977160,57643676368
63,2,2020,109835969,27298187247,0,119704480,12374658,0,0,1216430903.0,209189429.0,631911122,149280327,63959805,12125864205,2505055427,1372153568,463670037,283289425,2502802497,12525661311,0,8389046.0,5653982589,642332466,25669418877,652929594,7200200834,26071325,13163579128,73148689659,73148689659,60623028348
64,3,1989,0,0,0,242000,0,0,0,136000.0,0.0,0,0,0,0,0,0,0,0,0,12663000,0,0.0,729000,3995000,91441000,572000,0,0,47482000,112270000,112270000,99607000
65,3,1990,0,0,0,389000,0,25913000,0,99000.0,0.0,0,0,0,0,0,0,0,0,0,2927000,0,0.0,3259000,2702077,128684000,197000,0,0,54307982,161468000,161468000,158541000
66,3,1991,0,0,0,612000,0,40225000,0,150000.0,0.0,0,0,0,0,0,0,0,0,0,3288000,0,0.0,5336000,5350000,158994000,1715000,0,0,76539000,210320000,210320000,207032000
67,3,1992,0,0,0,5891000,0,53784000,0,160000.0,0.0,0,0,0,0,0,0,0,0,0,128256000,0,0.0,5627000,34782000,186604000,782000,0,0,94637000,381104000,381104000,252848000
