,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derechos,Escuelas,Financiamiento,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Servicios de limpieza y manejo de desechos,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
53,2,2011,93120024,15907944548,172452899,55506237,0,939141616.0,0.0,1514000000,0.0,1762861136,984145452,13257614718,143840574,18011191,33789101182,33789101182,32275101182
54,2,2012,93256366,14665259320,213905272,40543997,0,976043716.0,626688392.0,2765753603,0.0,2091220860,1942751008,15849960732,165277094,18192813,36767964594,36767964594,34002210991
55,2,2013,86943177,16524586240,693145188,62081429,0,947777420.0,258169458.5,2714707960,1265254.0,2169076993,2126038167,16008313009,143909592,18221299,39263597831,39263597831,36548889871
56,2,2014,88796763,18157285504,695733090,23785150,0,966383552.0,133181763.5,2967956688,0.0,2366102792,624443066,15978819403,231738518,18020719,41387804697,41387804697,38419848009
57,2,2015,110087118,18650360306,270366006,18149816,0,998534449.0,346303870.0,2356403594,0.0,2620659498,956251708,17070457151,158046702,19009319,42142977522,42142977522,39786573928
58,2,2016,70277275,23308333303,248037491,16869595,0,1067673317.0,140305301.0,2985796447,0.0,3003306866,919195224,19511745913,165071334,21001416,50306834266,50306834266,47321037819
59,2,2017,73283692,24098666150,244985844,21588914,0,1121388408.0,0.0,2771795269,0.0,3805746339,1106638647,22428950534,224341614,21528879,54717463072,54717463072,51945667803
60,2,2018,88349938,25461045586,240119114,18668174,0,1036498386.0,303037930.0,980005933,20380467.0,4060209192,1303460119,24454404585,158283749,24200965,56409234719,56409234719,55429228786
61,3,1989,0,0,242000,0,0,136000.0,0.0,12663000,0.0,729000,3995000,91441000,572000,0,112270000,112270000,99607000
62,3,1990,0,0,389000,0,25913000,99000.0,0.0,2927000,0.0,3259000,2702077,128684000,197000,0,161468000,161468000,158541000
63,3,1991,0,0,612000,0,40225000,150000.0,0.0,3288000,0.0,5336000,5350000,158994000,1715000,0,210320000,210320000,207032000
64,3,1992,0,0,5891000,0,53784000,160000.0,0.0,128256000,0.0,5627000,34782000,186604000,782000,0,381104000,381104000,252848000
65,3,1993,0,220971000,936000,0,92400000,45000.0,0.0,350000,0.0,5016000,6511000,214397000,1684000,0,535799000,535799000,535449000
66,3,1994,0,268279000,1068000,0,41400000,102000.0,0.0,57351000,0.0,9049000,11054000,253953000,3760000,0,634962000,634962000,577611000
67,3,1995,0,315330000,1152000,0,0,118000.0,0.0,158542000,0.0,8390000,8340000,285680000,7168000,0,776380000,776380000,617838000
68,3,1996,796000,625455000,1920000,0,0,2501000.0,0.0,1827000,0.0,10972000,10165000,437879000,7492000,0,1088136000,1088136000,1086309000
69,3,1997,1510000,726559049,2483462,0,0,3142768.0,0.0,88516000,0.0,22853726,11776000,572649000,13383804,0,1442317717,1442317717,1353801717
70,3,1998,1950265,1311642895,6685498,0,0,2985884.0,70000.0,0,355569.0,40183695,30701081,709215585,32976557,0,2107979762,2107979762,2107979762
71,3,1999,3548000,1367787000,2524000,0,0,3645000.0,0.0,34836000,0.0,47003000,15515000,871566000,24771000,0,2384445000,2384445000,2349609000
72,3,2000,2613000,1829068000,2338000,0,0,1838000.0,0.0,0,0.0,71613000,51594000,1182343000,43264000,0,3160775000,3160775000,3160775000
73,3,2001,3684653,2028662000,43607000,0,0,1464000.0,0.0,118411000,0.0,100552000,62482776,1276470000,41954000,624390,3618719000,3618719000,3500308000
74,3,2002,2921000,2200168337,5037972,34156958,0,835822.0,0.0,166917749,0.0,71908387,124175340,1319572282,79637820,0,3982045549,3982045549,3815127800
75,3,2003,5851000,2488317252,7867290,32208414,70104469,1312410.0,0.0,100548073,0.0,104728370,232257000,1527138894,88439242,362000,4510668175,4510668175,4410120102
76,3,2004,5330000,2670668588,78854954,25166220,125077584,1497193.0,5267520.0,266055000,0.0,120524568,179584280,1742328069,114395835,780000,5267463584,5267463584,5001408584
77,3,2005,5375071,3141176920,132085147,0,36841069,3252451.0,4105193.0,195038295,3178213.0,207171952,258353057,1955600995,49730820,781299,5867504916,5867504916,5672466621
78,3,2006,5846994,3310761872,224583256,0,51265511,49355098.0,13948525.0,110824377,32760134.0,279907162,604026213,2312929354,37574702,1151799,6855496609,6855496609,6744672232
79,3,2007,3456374,3963249600,266252575,0,235974027,50886798.0,60645722.0,611059550,30995900.0,345074753,430157892,2511524382,27553202,2007834,8409327872,8409327872,7798268322
80,3,2008,3197526,4543800382,324465763,0,0,50945000.0,3015758.0,455000000,11340188.0,379462333,778150425,2941159325,46724443,2744417,8741557246,8741557246,8286557246
81,3,2009,7142001,4492716398,967206302,0,0,44564990.0,0.0,414597598,14993717.0,354322566,672582043,2954654650,44790603,5998438,9869553107,9869553107,9454955509
82,3,2010,3675594,4472136898,552397965,0,0,43000643.0,221676.0,1061598174,1791367.0,362799151,336608158,2986780527,20912316,3158974,9556311504,9556311504,8494713330
83,3,2011,3512290,4573623887,447209052,0,0,58815787.0,0.0,2159478305,2772002.0,408181565,552660659,3343196847,23808540,2392589,11014313983,11014313983,8854835678
84,3,2012,3419196,7312175116,62416984,0,0,65714886.0,0.0,403738897,1892137.0,579679593,1272684740,3420348206,33863408,2431103,11877937090,11877937090,11474198193
85,3,2013,3453520,6653712909,62449715,5008551,0,79144848.0,0.0,1759521040,0.0,648049346,741990007,3625810276,32735910,2524072,12866432595,12866432595,11106911555
86,3,2014,3178324,8090073420,87522570,0,0,62271645.0,0.0,440000000,0.0,594728926,663478192,3862772235,24033864,1901378,13161402660,13161402660,12721402660
87,3,2015,4102553,9306477514,64888937,49917025,0,75131784.0,423821.0,1941348874,0.0,652714445,1103667773,4104089666,36971211,2232969,16305031401,16305031401,14363682527
88,3,2016,4356940,11216017125,88371838,0,0,392861507.0,0.0,1440000000,0.0,762953345,906010765,4428580633,73610339,3332577,18423069084,18423069084,16983069084
89,3,2017,4856393,10313122067,149266613,0,0,511261339.0,2822700.0,581400694,0.0,931540605,1633871840,5298179754,71489624,4712918,17861795417,17861795417,17280394723
90,3,2018,21483197,10732025389,216772000,0,0,493535594.0,0.0,594074976,0.0,975511143,1133238586,6090481000,12691092,6513009,19115091194,19115091194,18521016218
91,3,2019,7423855,9650404411,174065098,0,0,608083939.0,0.0,436260960,0.0,1112483656,288884940,6675498702,21214951,5930046,18678011717,18678011717,18241750757
92,4,1989,0,0,862766,0,6097888,1630149.0,0.0,13364478,0.0,87196,32502817,147650382,734942,0,170427801,170427801,157063323
93,4,1990,0,45376,3257943,0,6937591,4181764.0,0.0,1455290,0.0,128313,46530640,255529777,4962392,0,276498446,276498446,275043156
94,4,1991,0,219359,219715,0,62708986,21246743.0,0.0,33074751,0.0,183762,32037696,330172395,7101438,0,454927149,454927149,421852398
95,4,1992,0,7737491,529843,0,85105341,38563073.0,0.0,224198728,0.0,360065,68416532,377947153,18432030,0,752873724,752873724,528674996
96,4,1993,0,220733969,504028,0,156513422,20709368.0,0.0,279289262,0.0,9300248,28954535,443741986,9007210,0,1155746832,1155746832,876457570
97,4,1994,0,386252160,842556,0,195358814,19311795.0,0.0,412732430,0.0,13025854,45793276,487308835,23421035,0,1605438019,1605438019,1192705589
98,4,1995,0,580949291,13485854,121000,272871094,24564771.0,0.0,172311428,0.0,21057411,13290444,596179096,25024377,0,1727271686,1727271686,1554960258
99,4,1996,728251,922973704,2666576,0,213795626,57151457.0,16442614.0,7742263,0.0,29436673,68182272,818992989,32894114,0,2125170696,2125170696,2117428433
100,4,1997,425197,1358443781,10728592,732464,218977575,39099706.0,610456.0,0,6968485.0,45691907,96476909,1081981935,35900206,0,2914687661,2914687661,2914687661
101,4,1998,0,1926996942,3227000,0,433152259,39472587.0,0.0,0,0.0,79721205,357641000,1310661737,76848908,0,4016229355,4016229355,4016229355
102,4,1999,0,2242462558,6418000,0,658718267,64900329.0,0.0,0,0.0,100087280,499000788,1625067853,112605300,0,5162522183,5162522183,5162522183
