"","ID_ENTIDAD","ANIO","estado","poblacion","Agua","Aprovechamientos","Contribuciones.de.Mejoras","Cuotas.y.Aportaciones.de.Seguridad.Social","Derechos","Escuelas","Financiamiento","Hospitales","Impuestos","Inversion.publica","Productos","Servicios.de.limpieza.y.manejo.de.desechos","Total.de.egresos","Total.de.ingresos","Ingresos_menos_finanzas","Ingresos_propios","Ingresos_propios_pc","Inversion_publica_pc","Total_de_egresos_pc","Total_de_ingresos_pc","limpieza_pc","educacion_pc","hopsitales_pc"
"92",3,2019,"Baja California Sur",782305,7423855,174065098,0,0,608083939,0,436260960,0,1112483656,288884940,21214951,5930046,18678011717,18678011717,18241750757,1915847644,2448.97788458466,369.274055515432,23875.6133694659,23875.6133694659,7.58022254747189,0,0
"93",4,1989,"Campeche",513719,0,862766,0,6097888,1630149,0,13364478,0,87196,32502817,734942,0,170427801,170427801,157063323,9412941,18.3231319067428,63.2696415744794,331.752964169127,331.752964169127,0,0,0
"94",4,1990,"Campeche",535185,0,3257943,0,6937591,4181764,0,1455290,0,128313,46530640,4962392,0,276498446,276498446,275043156,19468003,36.3762119640872,86.9430944439773,516.640873716565,516.640873716565,0,0,0
"95",4,1991,"Campeche",556651,0,219715,0,62708986,21246743,0,33074751,0,183762,32037696,7101438,0,454927149,454927149,421852398,91460644,164.305182241656,57.5543670989543,817.257400058564,817.257400058564,0,0,0
"96",4,1992,"Campeche",578117,0,529843,0,85105341,38563073,0,224198728,0,360065,68416532,18432030,0,752873724,752873724,528674996,142990352,247.338085543238,118.343747026986,1302.28608395878,1302.28608395878,0,0,0
"97",4,1993,"Campeche",599584,0,504028,0,156513422,20709368,0,279289262,0,9300248,28954535,9007210,0,1155746832,1155746832,876457570,196034276,326.950478998772,48.2910401211507,1927.58117628222,1927.58117628222,0,0,0
"98",4,1994,"Campeche",621050,0,842556,0,195358814,19311795,0,412732430,0,13025854,45793276,23421035,0,1605438019,1605438019,1192705589,251960054,405.700111102166,73.7352483696965,2585.03827228081,2585.03827228081,0,0,0
"99",4,1995,"Campeche",642516,0,13485854,121000,272871094,24564771,0,172311428,0,21057411,13290444,25024377,0,1727271686,1727271686,1554960258,357124507,555.821967079419,20.685000840446,2688.293654944,2688.293654944,0,0,0
"100",4,1996,"Campeche",652151,728251,2666576,0,213795626,57151457,16442614,7742263,0,29436673,68182272,32894114,0,2125170696,2125170696,2117428433,335944446,515.132915536433,104.549823583802,3258.70955652909,3258.70955652909,0,25.2128939463406,0
"101",4,1997,"Campeche",661785,425197,10728592,732464,218977575,39099706,610456,0,6968485,45691907,96476909,35900206,0,2914687661,2914687661,2914687661,351130450,530.580853298277,145.782858481229,4404.2818453123,4404.2818453123,0,0.922438556328717,10.5298321962571
"102",4,1998,"Campeche",671420,0,3227000,0,433152259,39472587,0,0,0,79721205,357641000,76848908,0,4016229355,4016229355,4016229355,632421959,941.91706979238,532.663608471598,5981.69455035596,5981.69455035596,0,0,0
"103",4,1999,"Campeche",681054,0,6418000,0,658718267,64900329,0,0,0,100087280,499000788,112605300,0,5162522183,5162522183,5162522183,942729176,1384.22089291011,732.689020253901,7580.19508438391,7580.19508438391,0,0,0
"104",4,2000,"Campeche",690689,0,6957000,0,228649254,299831304,0,0,0,115147039,911576818,78974019,0,6081746436,6081746436,6081746436,729558616,1056.27658179007,1319.80792802549,8805.33269821874,8805.33269821874,0,0,0
"105",4,2001,"Campeche",703497,0,6808000,0,286542989,197215363,0,0,0,149611893,778686718,88624056,0,6602720772,6602720772,6602720772,728802301,1035.97073050773,1106.87994120799,9385.57061650583,9385.57061650583,0,0,0
"106",4,2002,"Campeche",716305,0,6272000,0,106523324,266216530,0,0,0,193093115,667839563,39087854,0,6838399775,6838399775,6838399775,611192823,853.257792420826,932.339663969957,9546.77096348622,9546.77096348622,0,0,0
"107",4,2003,"Campeche",729114,0,11265000,0,513244305,256864392,0,0,0,232190639,659174031,38193941,0,8013856213,8013856213,8013856213,1051758277,1442.51554215116,904.075399731729,10991.2252583272,10991.2252583272,0,0,0
"108",4,2004,"Campeche",741922,0,8272000,0,543775768,287424500,0,0,0,281905806,735129076,33784936,0,8706924060,8706924060,8706924060,1155163010,1556.98713611404,990.844153428528,11735.632667585,11735.632667585,0,0,0
